claim_id,question,claim,evidence_type,data_source,script,config,artifact,validation,status,notes
Q1-C01,q1,飞行距离关键因素应分层解释而非单一等权综合排名,experiment,data/processed/golf_shots_clean.csv,questions/q1/scripts/pipeline.py,configs/default.yaml,questions/q1/artifacts/tables/q1_feature_summary.csv;questions/q1/artifacts/tables/q1_ridge_coefficients.csv;questions/q1/artifacts/tables/q1_permutation_importance.csv;questions/q1/artifacts/tables/q1_group_importance.csv,1000 bootstrap + 5x5 CV + validate checks,supported,球速为稳定首要因素；攻击角不写作稳定关键因素
Q1-C02,q1,杆头速度和攻击角的异常零值应修正为缺失并重算样本口径,validation,data/raw/problem,questions/q1/scripts/preprocessing.py,configs/default.yaml,questions/q1/artifacts/tables/q1_invalid_zero_records.csv;questions/q1/artifacts/tables/q1_data_audit.csv;questions/q1/artifacts/tables/q1_sample_definition_comparison.csv,record_id=225/226/308 audit + corrected missing counts,supported,只对明确异常的 0 值修正
Q1-C03,q1,杆头速度与球速存在信息重叠，边际相关不能解释为独立贡献,experiment,data/processed/golf_shots_clean.csv,questions/q1/scripts/pipeline.py,configs/default.yaml,questions/q1/artifacts/tables/q1_speed_overlap_models.csv;questions/q1/artifacts/tables/q1_speed_overlap_fold_scores.csv,paired 5x5 CV on common non-missing sample,supported,统计预测信息结论而非挥杆机制因果
Q1-C04,q1,发射角存在结构性非线性贡献,experiment,data/processed/golf_shots_clean.csv,questions/q1/scripts/pipeline.py,configs/default.yaml,questions/q1/artifacts/tables/q1_launch_angle_quadratic.csv;questions/q1/artifacts/figures/q1_top_feature_relationships.png,linear vs quadratic 5x5 CV + binned trend figure,supported,经验最优角为样本内统计位置
Q2-C01,q2,监督模型可在固定测试集预测飞行距离和最高点高度,experiment,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_supervised_metrics.csv;questions/q2/artifacts/tables/q2_supervised_predictions.csv;questions/q2/artifacts/tables/q2_supervised_bootstrap_ci.csv,固定 70/30 测试集 + 训练集 5 折 CV 选模 + 69 项 q2 validation,supported,carry/apex 均由 launch_state_model/HistGradientBoosting 胜出
Q2-C02,q2,真空和阻力 ODE 通过单位换算、落地事件和真空解析解校验,validation,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_ode_validation_checks.csv;questions/q2/artifacts/tables/q2_ode_test_metrics.csv,真空解析误差 < 1e-3 + failure rate 0,supported,drag-only C_D 位于下界，仅作基线
Q2-C03,q2,训练集标定的含升力 ODE 改善仅阻力结构并可比较四层模型,experiment,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_ode_parameters.csv;questions/q2/artifacts/tables/q2_ode_parameter_surface.csv;questions/q2/artifacts/tables/q2_ode_test_metrics.csv,train-only representative grid + fixed test comparison + 69 项 q2 validation,supported,constant_lift 测试集 carry RMSE=16.506 yd
Q2-C04,q2,典型 100/150/200 yd 记录轨迹可由 ODE 接口复现,experiment,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_typical_records.csv;questions/q2/artifacts/tables/q2_ode_typical_errors.csv;questions/q2/artifacts/tables/q2_typical_trajectories.csv;questions/q2/artifacts/figures/q2_typical_trajectories_3d.png,典型记录只从测试集按实际 carry 距目标最近选择,supported,sample_id=683/713/623
Q2-C05,q2,监督模型稳定性和 ODE 参数/积分/假设灵敏度已有可复现证据,experiment,data/processed/golf_shots_clean.csv,questions/q2/scripts/pipeline.py,configs/default.yaml,questions/q2/artifacts/tables/q2_supervised_repeated_split.csv;questions/q2/artifacts/tables/q2_ode_sensitivity.csv;questions/q2/artifacts/figures/q2_ode_sensitivity.png,30 次重复划分 + 参数/积分/假设扰动 + 69 项 q2 validation,supported,用于局限性和稳健性讨论
Q3-C01,q3,在给定边界内可求得 200 yd 目标下的最优击球参数组合,experiment,data/processed/golf_shots_clean.csv,questions/q3/scripts/pipeline.py,configs/default.yaml,questions/q3/artifacts/tables/q3_optimal_parameters.csv,待 q3 实现,planned,
Q3-C02,q3,最优参数下的三维轨迹可由 q2 模型复现并生成图表数据,experiment,data/processed/golf_shots_clean.csv,questions/q3/scripts/visualize.py,configs/default.yaml,questions/q3/artifacts/figures/q3_optimal_trajectory.png,待 q3 实现,planned,
