feature,feature_label,output,output_label,correlation,abs_correlation,n
ball_speed_mph,Ball speed,carry_distance_yd,Carry distance,0.776022859843,0.776022859843,735
ball_speed_mph,Ball speed,max_height_yd,Max height,0.123375433981,0.123375433981,735
ball_speed_mph,Ball speed,total_distance_yd,Total distance,0.920316817694,0.920316817694,735
ball_speed_mph,Ball speed,lateral_offset_yd,Lateral offset,-0.0113917204148,0.0113917204148,735
launch_angle_deg,Launch angle,carry_distance_yd,Carry distance,0.0254049083667,0.0254049083667,735
launch_angle_deg,Launch angle,max_height_yd,Max height,0.727973165005,0.727973165005,735
launch_angle_deg,Launch angle,total_distance_yd,Total distance,-0.340117421283,0.340117421283,735
launch_angle_deg,Launch angle,lateral_offset_yd,Lateral offset,0.160802186821,0.160802186821,735
launch_direction_deg,Launch direction,carry_distance_yd,Carry distance,0.061532647206,0.061532647206,735
launch_direction_deg,Launch direction,max_height_yd,Max height,0.105702884219,0.105702884219,735
launch_direction_deg,Launch direction,total_distance_yd,Total distance,-0.00978239932734,0.00978239932734,735
launch_direction_deg,Launch direction,lateral_offset_yd,Lateral offset,0.778160289659,0.778160289659,735
spin_rate_rpm,Spin rate,carry_distance_yd,Carry distance,0.0532459083516,0.0532459083516,735
spin_rate_rpm,Spin rate,max_height_yd,Max height,0.514237105325,0.514237105325,735
spin_rate_rpm,Spin rate,total_distance_yd,Total distance,-0.335183102988,0.335183102988,735
spin_rate_rpm,Spin rate,lateral_offset_yd,Lateral offset,0.199110947591,0.199110947591,735
spin_axis_deg,Spin axis,carry_distance_yd,Carry distance,0.118247693454,0.118247693454,735
spin_axis_deg,Spin axis,max_height_yd,Max height,0.115228008292,0.115228008292,735
spin_axis_deg,Spin axis,total_distance_yd,Total distance,-0.0107271497823,0.0107271497823,735
spin_axis_deg,Spin axis,lateral_offset_yd,Lateral offset,0.784626817055,0.784626817055,735
backspin_rpm,Backspin,carry_distance_yd,Carry distance,0.0933009427301,0.0933009427301,735
backspin_rpm,Backspin,max_height_yd,Max height,0.553752386059,0.553752386059,735
backspin_rpm,Backspin,total_distance_yd,Total distance,-0.302050248114,0.302050248114,735
backspin_rpm,Backspin,lateral_offset_yd,Lateral offset,0.191420166513,0.191420166513,735
sidespin_rpm,Sidespin,carry_distance_yd,Carry distance,-0.140975766456,0.140975766456,735
sidespin_rpm,Sidespin,max_height_yd,Max height,-0.135699589554,0.135699589554,735
sidespin_rpm,Sidespin,total_distance_yd,Total distance,-0.00793539434771,0.00793539434771,735
sidespin_rpm,Sidespin,lateral_offset_yd,Lateral offset,-0.815005113564,0.815005113564,735
club_speed_mph,Club speed,carry_distance_yd,Carry distance,0.589009934919,0.589009934919,669
club_speed_mph,Club speed,max_height_yd,Max height,0.0814085533432,0.0814085533432,669
club_speed_mph,Club speed,total_distance_yd,Total distance,0.720688016264,0.720688016264,669
club_speed_mph,Club speed,lateral_offset_yd,Lateral offset,0.0473813800264,0.0473813800264,669
attack_angle_deg,Attack angle,carry_distance_yd,Carry distance,0.20633818305,0.20633818305,667
attack_angle_deg,Attack angle,max_height_yd,Max height,0.0569096931624,0.0569096931624,667
attack_angle_deg,Attack angle,total_distance_yd,Total distance,0.327402093282,0.327402093282,667
attack_angle_deg,Attack angle,lateral_offset_yd,Lateral offset,0.0507906567291,0.0507906567291,667
